MinTemperature,AvgTemperature,MaxDewPoint,AvgDewPoint
0.45454545454545436,0.2087912087912085,0.0,0.11111111111111094
0.36363636363636354,0.27472527472527464,0.16666666666666674,0.19047619047619024
0.36363636363636354,0.39560439560439553,0.5,0.40476190476190466
0.5454545454545452,0.4945054945054945,0.6666666666666665,0.5079365079365079
0.5454545454545452,0.4725274725274726,0.6666666666666665,0.5634920634920633
0.5454545454545452,0.5054945054945055,0.5833333333333335,0.5238095238095237
0.5454545454545452,0.5384615384615383,0.5833333333333335,0.5079365079365079
0.5454545454545452,0.4835164835164836,0.5833333333333335,0.5952380952380953
0.45454545454545436,0.4285714285714284,0.3333333333333335,0.2777777777777777
0.2727272727272727,0.29670329670329654,0.41666666666666674,0.3095238095238093
0.36363636363636354,0.34065934065934034,0.41666666666666674,0.25396825396825395
0.2727272727272727,0.2087912087912085,0.0,0.007936507936507908
0.09090909090909083,0.0,0.16666666666666674,0.07142857142857117
0.0,0.1208791208791209,0.25,0.2857142857142856
0.2727272727272727,0.2307692307692304,0.3333333333333335,0.31746031746031744
0.5454545454545452,0.5274725274725278,0.41666666666666674,0.33333333333333326
0.36363636363636354,0.32967032967032983,0.3333333333333335,0.22222222222222232
0.18181818181818188,0.2637362637362637,0.16666666666666674,0.0
0.18181818181818188,0.0659340659340657,0.25,0.08730158730158721
0.2727272727272727,0.35164835164835173,0.5,0.3492063492063491
0.5454545454545452,0.4285714285714284,0.5833333333333335,0.5238095238095237
0.5454545454545452,0.34065934065934034,0.5833333333333335,0.6428571428571428
0.5454545454545452,0.4175824175824179,0.5833333333333335,0.603174603174603
0.5454545454545452,0.39560439560439553,0.5,0.5714285714285714
0.5454545454545452,0.39560439560439553,0.5833333333333335,0.5952380952380953
0.6363636363636365,0.5054945054945055,0.5,0.4920634920634921
0.5454545454545452,0.4725274725274726,0.5,0.5238095238095237
0.5454545454545452,0.4285714285714284,0.5833333333333335,0.5317460317460316
0.45454545454545436,0.4175824175824179,0.3333333333333335,0.22222222222222232
0.2727272727272727,0.30769230769230793,0.3333333333333335,0.26984126984126977
0.5454545454545452,0.4285714285714284,0.41666666666666674,0.41269841269841256
0.5454545454545452,0.4175824175824179,0.5,0.46825396825396814
0.45454545454545436,0.37362637362637363,0.41666666666666674,0.33333333333333326
0.45454545454545436,0.37362637362637363,0.3333333333333335,0.38095238095238093
0.2727272727272727,0.4395604395604398,0.41666666666666674,0.32539682539682513
0.6363636363636365,0.4945054945054945,0.5,0.5317460317460316
0.5454545454545452,0.4615384615384617,0.5,0.5158730158730158
0.5454545454545452,0.4285714285714284,0.5833333333333335,0.6190476190476191
0.45454545454545436,0.32967032967032983,0.5833333333333335,0.6507936507936507
0.5454545454545452,0.5164835164835164,0.5833333333333335,0.5634920634920633
0.6363636363636365,0.4945054945054945,0.5833333333333335,0.6190476190476191
0.6363636363636365,0.32967032967032983,0.5833333333333335,0.6428571428571428
0.5454545454545452,0.34065934065934034,0.5,0.5158730158730158
0.45454545454545436,0.31868131868131844,0.41666666666666674,0.4444444444444442
